WeekEndingDay,StarKist,BumbleBee,Others
20200104,2.008494392,1.63183308,1.465760149
20200111,1.953091448,1.576367641,1.562433475
20200118,2.005256621,1.67922914,1.593557532
20200125,1.966257544,1.923277474,1.611461121
20200201,2.012714452,1.745206884,1.590858213
20200208,1.966838599,1.765118003,1.507200874
20200215,1.971034435,1.946821546,1.425569732
20200222,1.985033849,1.790153164,1.511393485
20200229,1.894924221,1.54125728,1.518608369
20200307,1.808019268,1.548964888,1.497651095
20200314,1.906642427,1.670775968,1.53587762
20200321,1.992893192,1.888444309,1.681270811
20200328,1.898806449,2.009738988,1.678689866
20200404,1.90271361,1.819380754,1.604706171
20200411,1.936223696,1.907806493,1.62652996
20200418,2.035961952,1.92046579,1.605598397
20200425,2.047163636,1.894302349,1.628767006
20200502,2.003930132,1.87824846,1.632960474
20200509,1.986296051,1.882514514,1.658960859
20200516,2.005081619,1.850251348,1.663268241
20200523,2.058029841,1.86949181,1.669791712
20200530,2.075653225,1.846177294,1.666894969
20200606,2.078222384,1.88794857,1.650651529
20200613,2.060142662,1.899962174,1.643829279
20200620,2.093803476,1.943035444,1.625467843
20200627,2.163667749,1.918263177,1.635015495
20200704,2.131883172,1.954772003,1.64316885
20200711,2.072619206,1.955710549,1.643515539
20200718,2.06793783,2.02133991,1.607929052
20200725,2.003699828,1.858699524,1.586616531
20200801,1.998875639,1.944935032,1.530164442
20200808,1.961703607,1.892229617,1.599038078
20200815,1.983775996,1.883462091,1.605429215
20200822,1.983936175,1.907617186,1.532927469
20200829,2.003565694,1.735256116,1.498010823
20200905,1.987317316,1.859740076,1.503148859
20200912,1.986544692,1.866965177,1.526541616
20200919,1.998703747,1.804642093,1.535423588
20200926,1.998917392,1.865501374,1.477197181
20201003,2.012033105,1.842226113,1.432829561
20201010,1.988614306,1.849819388,1.522756925
20201017,1.977596524,1.855706608,1.515304016
20201024,1.972047273,1.880812027,1.48464285
20201031,1.975185144,1.870662749,1.540530538
20201107,1.953124062,1.875445156,1.564891074
20201114,1.966339155,1.931377225,1.573973182
20201121,1.987048374,1.878458407,1.625890928
20201128,2.014684777,1.951988517,1.661043881
20201205,2.012360039,1.871838886,1.612022365
20201212,1.990638152,1.835706121,1.615490831
20201219,1.99829095,1.884527928,1.647683592
20201226,1.986910465,1.886611748,1.681153934
