TRX_DATE,NET_SALES
5/6/2015,2572
3/4/2019,8317.57
1/16/2016,421.36
10/29/2018,3.55E-15
6/7/2019,1079.4
6/14/2016,2739
9/18/2017,374.41
8/17/2016,354.6
10/13/2015,5032
7/18/2016,100
8/20/2015,1467.21
10/18/2019,1124.46
11/30/2019,925.46
2/24/2016,36
8/1/2017,0
12/13/2018,649.75
11/3/2017,747.75
9/5/2018,1319.55
8/3/2016,36
12/9/2016,1287
2/12/2018,3179.7
4/5/2017,310.8
5/21/2019,4425.6
12/12/2016,13412
3/23/2018,6991.31
4/12/2019,2684.85
5/17/2017,79.8
10/19/2016,792
4/22/2016,1443.74
2/16/2018,129.5
1/16/2017,430.9
10/1/2015,2445.25
12/29/2016,743
2/29/2016,1487
8/24/2016,1226
6/7/2018,6078.8
6/29/2016,384
10/7/2019,0
11/22/2017,3899.65
8/30/2019,1098.35
2/22/2018,4950.17
2/14/2019,1099.86
5/16/2019,830.01
4/4/2019,0
9/1/2016,24420
5/16/2018,3539.6
3/19/2018,1619.87
2/20/2019,3782.21
12/10/2017,6411.78
12/29/2015,110
1/11/2018,3479.7
5/18/2017,78.85
7/25/2019,199.9
4/17/2018,1189.8
8/8/2016,62.55
1/19/2018,47.85
12/19/2018,7781.27
10/14/2019,9309.1
12/16/2019,9527.01
12/31/2019,-3.55E-15
4/8/2017,4499.25
2/5/2016,993
12/1/2016,1245
7/26/2018,1494.9
3/30/2018,71.88
10/10/2018,113.88
12/27/2018,490.75
8/30/2018,0
12/12/2018,4994.18
11/11/2016,2653
5/23/2015,10863
11/20/2017,38.85
4/10/2017,51.8
10/17/2019,0
9/5/2017,61.86
6/8/2018,506.81
5/10/2016,3832
7/25/2018,5748.75
12/17/2017,159.95
9/19/2018,1733.41
12/10/2015,10287
12/6/2019,5564.48
6/8/2018,189.9
10/23/2015,5264
12/10/2016,4979
8/3/2017,1678.39
8/26/2017,31.9
10/13/2018,248.68
12/8/2015,2245
6/25/2015,150
7/3/2017,1859.85
2/15/2016,987
9/16/2019,0
2/10/2017,50.84
2/25/2017,243
4/20/2015,50
3/3/2016,5990
9/4/2018,1449.86
7/11/2017,2596.76
5/8/2019,165.76
11/8/2018,849.9
4/28/2016,778
6/12/2015,8072
4/18/2019,940.36
9/1/2016,449
7/23/2018,3519.57
3/14/2016,20
10/7/2019,69.75
4/13/2018,-7.11E-15
9/28/2017,75
7/9/2019,1799.85
9/7/2016,249
8/6/2015,5148
7/22/2016,48
12/30/2015,0
7/2/2018,519.58
4/2/2015,0
12/19/2015,90
2/2/2016,1173.38
1/16/2018,0
10/4/2016,2792
4/12/2018,146.51
10/22/2019,7933.02
10/21/2015,508
6/24/2019,250.1
10/18/2018,38.85
1/3/2018,229.46
10/8/2019,1727.56
9/13/2017,1026.61
7/11/2019,299.9
10/23/2019,255.92
7/2/2018,579.85
8/3/2018,194.25
3/9/2018,559.95
9/20/2019,89.7
6/21/2019,0
4/23/2019,0
12/12/2016,4491
11/6/2015,1715
11/28/2018,283.23
