Brand,time_period,qua,nat,compnat
A2,2012-08-27,0.48969545356588,2694214,35440099
A2,2012-09-03,0.493109986014371,82068,41815065
A2,2012-09-10,0.530579536724907,148148,24751080
A2,2012-09-17,0.620371558364494,125820,41236049
A2,2012-09-24,0.576093278131147,426598,47877835
A2,2012-10-01,0.588034895257008,464272,49003655
A2,2012-10-08,0.581085686155878,237054,45969178
A2,2012-10-15,0.517072025905744,1603735,49239293
A2,2012-10-22,0.572605892163398,2415125,42021904
A2,2012-10-29,0.530632178343737,5318205,55599851
A3,2007-11-05,0.350120318551846,2033344,19249001
A3,2007-11-12,0.373929474918447,2622524,20927306
A3,2007-11-19,0.358301629251864,2199011,23389040
A3,2007-11-26,0.415852972970801,7929392,68850698
A3,2007-12-03,0.38507937193259,4370542,18355101
A3,2007-12-10,0.38750614132778,3644352,24495291
A3,2007-12-17,0.383598417985512,2802954,20386142
A3,2007-12-24,0.393629126596941,2681767,14213804
A3,2007-12-31,0.395173915211965,2047216,33217252
A3,2008-01-07,0.455442969241258,1757036,7528056
A3,2008-01-14,0.448087320639836,3310507,9112986
A3,2008-01-21,0.461042281723633,725943,8237162
A3,2008-01-28,0.454300738328378,2237991,19480598
A3,2008-02-04,0.412186488449395,314543,6409139
A3,2008-02-11,0.377279418627547,219514,4807460
A3,2008-02-18,0.409216081291317,413361,2934976
A3,2008-02-25,0.415571903626426,1112894,16189048
A3,2008-03-03,0.421451096980781,307749,4135060
