store,date_of_week,sales,price
STORE4,2011-09-17,2796,2.633506711409396
STORE4,2011-09-24,2526,2.661225165562914
STORE4,2011-10-01,2573,2.7026166666666667
STORE4,2011-10-08,2641,2.7262585034013607
STORE4,2011-10-15,2447,2.7639795918367347
STORE4,2011-10-22,2402,2.8282427536231882
STORE4,2011-10-29,2646,2.817282608695652
STORE4,2011-11-05,2179,2.7631785714285715
STORE4,2011-11-12,2464,2.778525179856115
STORE4,2011-11-19,2828,2.8564612676056336
STORE4,2011-11-26,3285,2.879609929078014
STORE4,2011-12-03,2174,2.837482394366197
STORE4,2011-12-10,2742,2.765821917808219
STORE4,2011-12-17,2968,2.768041958041958
STORE4,2011-12-24,4136,2.7840131578947367
STORE4,2011-12-31,2330,2.7765753424657533
STORE5,2011-01-01,1762,2.328026960784314
STORE5,2011-01-08,1140,2.325335051546392
STORE5,2011-01-15,1199,2.29843085106383
STORE5,2011-01-22,1326,2.364010416666667
STORE5,2011-01-29,1227,2.307240932642487
STORE5,2011-02-05,1348,2.3280150753768845
STORE5,2011-02-12,1448,2.2974613402061856
STORE5,2011-02-19,1216,2.306282722513089
STORE5,2011-02-26,1265,2.287866492146597
STORE5,2011-03-05,1278,2.3146102150537633
STORE5,2011-03-12,1271,2.329945945945946
STORE5,2011-03-19,1323,2.2693911917098446
STORE5,2011-03-26,1287,2.338515625
STORE5,2011-04-02,1209,2.332616580310881
STORE5,2011-04-09,1313,2.3257820512820513
STORE5,2011-04-16,1395,2.2976
STORE5,2011-04-23,1544,2.2983457711442785
STORE5,2011-04-30,1398,2.2841044776119404
STORE5,2011-05-07,1684,2.2978
STORE5,2011-05-14,1615,2.299188481675393
STORE5,2011-05-21,1498,2.249025641025641
STORE5,2011-05-28,1933,2.269595588235294
STORE5,2011-06-04,2171,2.284963054187192
STORE5,2011-06-11,1676,2.280907960199005
STORE5,2011-06-18,1725,2.3141494845360824
STORE5,2011-06-25,1643,2.284307692307692
STORE5,2011-07-02,2022,2.2900485436893203
STORE5,2011-07-09,2049,2.2794634146341464
STORE5,2011-07-16,1610,2.3002525252525254
STORE5,2011-07-23,1799,2.307728426395939
STORE5,2011-07-30,1747,2.3135984848484847
STORE5,2011-08-06,1683,2.3539663461538463
STORE5,2011-08-13,1883,2.2884634146341463
STORE5,2011-08-20,1797,2.29809756097561
STORE5,2011-08-27,1738,2.2711330049261083
STORE5,2011-09-03,2037,2.267720588235294
STORE5,2011-09-10,1696,2.2658251231527093
STORE5,2011-09-17,1645,2.2767524509803923
STORE5,2011-09-24,1568,2.277512077294686
STORE5,2011-10-01,1575,2.296439393939394
STORE5,2011-10-08,1559,2.3183080808080807
STORE5,2011-10-15,1553,2.345
STORE5,2011-10-22,1370,2.2822348484848485
STORE5,2011-10-29,1548,2.2663578680203047
STORE5,2011-11-05,1681,2.2101025641025642
STORE5,2011-11-12,1524,2.25524064171123
STORE5,2011-11-19,2277,2.190907894736842
STORE5,2011-11-26,2728,2.2537004950495048
STORE5,2011-12-03,1614,2.183837837837838
STORE5,2011-12-10,1741,2.2019251336898398
STORE5,2011-12-17,1765,2.210978835978836
STORE5,2011-12-24,3027,2.210329268292683
STORE5,2011-12-31,2048,2.2370328282828282
STORE6,2011-01-01,1094,2.840686274509804
STORE6,2011-01-08,828,2.8944059405940594
STORE6,2011-01-15,1158,3.4651146788990825
STORE6,2011-01-22,1195,3.1562376237623764
STORE6,2011-01-29,1099,2.9058168316831683
STORE6,2011-02-05,1242,2.9333095238095237
STORE6,2011-02-12,1316,2.9102941176470587
STORE6,2011-02-19,1100,2.9680714285714287
STORE6,2011-02-26,1044,2.9325245098039217
STORE6,2011-03-05,1167,2.9383663366336634
STORE6,2011-03-12,1138,2.9566990291262134
STORE6,2011-03-19,1127,2.9577450980392155
STORE6,2011-03-26,1173,2.9539622641509435
STORE6,2011-04-02,1381,2.9651699029126215
STORE6,2011-04-09,1214,3.020873786407767
STORE6,2011-04-16,1270,3.0342892156862744
STORE6,2011-04-23,1404,2.940752427184466
STORE6,2011-04-30,1403,2.9473333333333334
STORE6,2011-05-07,1865,2.8685185185185187
STORE6,2011-05-14,1566,3.1601201923076925
STORE6,2011-05-21,1100,2.984230769230769
STORE6,2011-05-28,1210,3.089532710280374
STORE6,2011-06-04,1315,2.861116504854369
STORE6,2011-06-11,1190,2.9194471153846155
STORE6,2011-06-18,1513,3.3893691588785044
STORE6,2011-06-25,1372,2.865190476190476
STORE6,2011-07-02,1831,2.7775
STORE6,2011-07-09,1630,2.6858333333333335
STORE6,2011-07-16,1367,2.6590463917525775
STORE6,2011-07-23,1288,2.7216666666666667
STORE6,2011-07-30,1366,2.7057446808510637
STORE6,2011-08-06,1323,3.0508684210526313
STORE6,2011-08-13,1280,2.807086956521739
STORE6,2011-08-20,1715,2.8153389830508475
STORE6,2011-08-27,1592,3.2209583333333334
STORE6,2011-09-03,1726,3.2213016528925618
STORE6,2011-09-10,1775,3.113841463414634
STORE6,2011-09-17,1662,2.9658196721311474
STORE6,2011-09-24,1377,2.9739462809917354
STORE6,2011-10-01,1476,2.9179956896551724
STORE6,2011-10-08,1387,3.1955882352941174
STORE6,2011-10-15,1484,2.840689655172414
STORE6,2011-10-22,1335,2.881086956521739
STORE6,2011-10-29,1685,3.388649193548387
STORE6,2011-11-05,1401,3.088217213114754
STORE6,2011-11-12,1382,3.3531150793650792
STORE6,2011-11-19,1465,2.9119512195121953
STORE6,2011-11-26,1873,2.9054303278688525
STORE6,2011-12-03,1257,2.866341463414634
STORE6,2011-12-10,1147,3.0324593495934957
STORE6,2011-12-17,1122,2.8453813559322034
STORE6,2011-12-24,1376,2.723706140350877
STORE6,2011-12-31,1485,2.742739130434783
STORE7,2011-01-01,1508,2.3406159420289856
STORE7,2011-01-08,1117,2.3576923076923078
STORE7,2011-01-15,1247,2.3709398496240603
STORE7,2011-01-22,1230,2.361159420289855
STORE7,2011-01-29,1257,2.3247695035460993
STORE7,2011-02-05,1412,2.372536496350365
STORE7,2011-02-12,1500,2.3405319148936172
STORE7,2011-02-19,1254,2.345391791044776
STORE7,2011-02-26,1228,2.378605072463768
STORE7,2011-03-05,1359,2.3533273381294966
STORE7,2011-03-12,1202,2.352536496350365
STORE7,2011-03-19,1343,2.38099609375
STORE7,2011-03-26,1276,2.3550746268656715
STORE7,2011-04-02,1417,2.3015384615384615
STORE7,2011-04-09,1128,2.3230511811023624
STORE7,2011-04-16,1192,2.337096153846154
STORE7,2011-04-23,1297,2.34568
STORE7,2011-04-30,1447,2.3294444444444444
STORE7,2011-05-07,1447,2.2734325396825397
STORE7,2011-05-14,1189,2.2488729508196723
STORE7,2011-05-21,1219,2.275
STORE7,2011-05-28,1353,2.2942226890756303
STORE7,2011-06-04,1414,2.2847
STORE7,2011-06-11,1168,2.328272357723577
STORE7,2011-06-18,1186,2.2878455284552843
STORE7,2011-06-25,1305,2.3012704918032787
STORE7,2011-07-02,1477,2.278217054263566
STORE7,2011-07-09,1728,2.280964566929134
STORE7,2011-07-16,1434,2.29954
STORE7,2011-07-23,1364,2.26636
STORE7,2011-07-30,1371,2.2658661417322836
STORE7,2011-08-06,1355,2.2976428571428573
STORE7,2011-08-13,1285,2.3428358208955222
